Temperature (K),D parallel C-axis (m2/sec),1/T * 10^4 (1/T),ln (D)
905.15,1.66e-12,11.0478926145,-27.1242035136
871.15,7.26e-13,11.4790793778,-27.9512263801
840.15,3.74e-13,11.902636434,-28.6145205975
840.15,3.65e-13,11.902636434,-28.6388790413
836.15,3.43e-13,11.959576631,-28.7010459477
836.15,3.22e-13,11.959576631,-28.7642248494
906.15,1.79e-12,11.0357004911,-27.0488054961
906.15,1.64e-12,11.0357004911,-27.1363248741
811.15,1.88e-13,12.3281760464,-29.3023344321
811.15,1.75e-13,12.3281760464,-29.373990421
790.15,9e-14,12.6558248434,-30.0389667246
790.15,9.83e-14,12.6558248434,-29.9507523678
775.15,8.14e-14,12.9007288912,-30.1394011219
775.15,8.19e-14,12.9007288912,-30.1332774041
806.15,2.99e-13,12.4046393351,-28.8383328215
806.15,2.94e-13,12.4046393351,-28.8551966276
859.15,5.4e-13,11.6394110458,-28.2472072554
