Temperature (K),D (m2/sec),1/T * 10^4 (1/K),ln (D) (m2/s)
905.15,1.83e-12,11.0478926145,-27.0267051491
871.15,7.91e-13,11.4790793778,-27.8654784271
871.15,7.93e-13,11.4790793778,-27.8629531733
836.15,3.71e-13,11.959576631,-28.6225743323
836.15,3.87e-13,11.959576631,-28.5803517019
906.15,2.07e-12,11.0357004911,-26.9034725087
906.15,1.83e-12,11.0357004911,-27.0267051491
811.15,2.28e-13,12.3281760464,-29.109430766
811.15,2.31e-13,12.3281760464,-29.0963586844
790.15,1.1e-13,12.6558248434,-29.8382960291
790.15,1.11e-13,12.6558248434,-29.8292461936
775.15,9.02e-14,12.9007288912,-30.0367469678
775.15,8.9e-14,12.9007288912,-30.0501400252
806.15,3.3e-13,12.4046393351,-28.7396837405
806.15,3.36e-13,12.4046393351,-28.7216652349
859.15,6.16e-13,11.6394110458,-28.1155294314
